entity,sentiment,text,true_label,predicted_label
TomClancysRainbowSix,Positive,"rocket league, sea of thieves or rainbow six: siege ? i love playing all three on stream but which is the best? stream twitch rocketleague seaofthieves rainbowsixsiege follow",Positive,Irrelevant
CallOfDuty,Negative,the new user for ps5 is oh god,Negative,Positive
Nvidia,Positive,the things i would do for a user 3090.. unspeakable!,Positive,Negative
Overwatch,Neutral,the corruption and knocking up of overwatch babes is a serious mood atm.. pic.twitter.com qny4kmgblv,Neutral,Positive
CallOfDuty,Neutral,"user user i love the call of duty, more unfortunately i'm having a lot of audio bug, every time i'm playing the br mode of the game, the audio just stops, then i have to close it and open dnv the device i'm using is ios.",Neutral,Negative
PlayerUnknownsBattlegrounds(PUBG),Negative,user any chance i could get a list of the maps for the new pubg tdm? i can't seem to find a good list anywhere.,Negative,Neutral
CallOfDutyBlackopsColdWar,Neutral,seems like playstation has the marketing deal for callofdutyblackopscoldwar feels good to be treated well by playstation,Neutral,Positive
TomClancysGhostRecon,Positive,this is how much i enjoy ghostreconbreakpoint and division2 i love the lore of both titles. gaming gamebooks instagram.com p b9feinlnn1u,Positive,Neutral
PlayStation5(PS5),Negative,god when,Negative,Positive
PlayStation5(PS5),Positive,ooh shit i think my motherboard is already compatible,Positive,Irrelevant
WorldOfCraft,Neutral,"this is the current status on the gold making, monthly token purchased if i dont find a stable source of income this will be bad in 3 months mithril and flamebloom were broke by some sellers warcraft! pic.twitter.com l7xmqxwpz0",Neutral,Negative
Hearthstone,Negative,i miss when hearthstone was simpler,Negative,Positive
Facebook,Negative,leaked memo excoriates facebook s slapdash and haphazard response to global political manipulation dlvr.it rgbzjd url,Negative,Neutral
ApexLegends,Irrelevant,wilson,Irrelevant,Neutral
ApexLegends,Positive,feels good to get a victory in apexlegends with your high school buddies. we are all in our late 20's now. user user freaksandgeeks deserved a second season!!,Positive,Neutral
RedDeadRedemption(RDR),Neutral,red dead redemption 2 rdonline rdr2 dailychallengers by simba pic.twitter.com oebblxui9l,Neutral,Positive
Hearthstone,Neutral,joe buck is excited when hearthstone,Neutral,Positive
NBA2K,Negative,"sorta amusing how nba2k has such self-centered community managers that have built up such limited goodwill, that when they released a demo identical to 2k20, everyone was vocal about it being trash nba2k21 url",Negative,Irrelevant
Borderlands,Positive,"completed fustercluck this weekend, rounding off year one of borderlands3. i decided to go back in response and play the original borderlands again as i had the 4k goty version on my pc already. the shooting feels awful. i'm going to try some suggested ini changes tomorrow.",Positive,Neutral
TomClancysRainbowSix,Neutral,user user best combination for enjoying the pro-leagues before i head to montreal to see the finals live. pic.twitter.com o5gx0vf2gz,Neutral,Negative
johnson&johnson,Neutral,big news. numerous great companies are seeing fantastic results. user must move quickly! twitter.com nytimes status,Neutral,Negative
LeagueOfLegends,Neutral,west had a bit of hope for a good playoff finish but it s slowly dying with user getting worse with every game. at least na is getting a few wins ) leagueoflegends worlds2020 lolesports lcs lec,Neutral,Positive
GrandTheftAuto(GTA),Neutral,grand theft auto v pr portugalia adymonteiro.live home,Neutral,Positive
MaddenNFL,Positive,bro this is fire,Positive,Negative
johnson&johnson,Irrelevant,this is dope! puff is such a great kid.,Irrelevant,Positive
Amazon,Negative,plague of corruption is 1 on amazon and 3 on the ny times bestseller list. pic.twitter.com mr2gbn43i9,Negative,Positive
Fortnite,Irrelevant,user thank you fortnite xboxshare pic.twitter.com zwqorfk0jn,Irrelevant,Positive
johnson&johnson,Positive,"johnson johnson regains footing - analysis - 15-04-2020: johnson johnson's stock returned higher with a 4.48 profit, with support from the 50-day .. dlvr.it rtqqdp",Positive,Negative
Amazon,Irrelevant,awesome !! bonecakes..with strawberries and original maple syrup please !! user user user user user user user user user user user user user,Irrelevant,Neutral
johnson&johnson,Negative,sales decline in u.s. canada due to cancer claims. so the company decides to victimize people in the third world.,Negative,Neutral
PlayStation5(PS5),Positive,just so god damn beautiful ps5 pic.twitter.com n14qkprftj,Positive,Negative
WorldOfCraft,Neutral,zysola.blogspot.com p welcome.html zysola tech technews techworld technology innovation world of warcraft had been rated for xbox series x in brazil the l,Neutral,Irrelevant
Facebook,Neutral,woops made a bunch of boomer men mad on facebook lmfaoo pic.twitter.com 3yijbzv2fs,Neutral,Negative
HomeDepot,Irrelevant,this pic is so cute why,Irrelevant,Positive
ApexLegends,Neutral,100 agree. it s also so tiresome to play on and boring to look at. i hope when olympus comes they either rotate it out or we don t see it much.,Neutral,Negative
CS-GO,Positive,best of luck !,Positive,Irrelevant
Facebook,Positive,i am very interested in this,Positive,Irrelevant
RedDeadRedemption(RDR),Positive,red dead redemption got me wanting to move to a mother fucking ranch,Positive,Neutral
