entity,sentiment,text,true_label,predicted_label
RedDeadRedemption(RDR),Positive,happy birthday red dead redemption that shit changed my life what a crazy experience,Positive,Neutral
Nvidia,Neutral,"gtc20 - nice, motivational, and very accessible nvidia ai product fair related tech talks nvidia.com en-us gtc keyn interesting interaction social activities: braindates, dinner with strangers, .. and free attendance for universities: reg.rainfocus.com flow nvidia gt",Neutral,Positive
CallOfDutyBlackopsColdWar,Positive,i like the killstreaks,Positive,Irrelevant
NBA2K,Positive,this card is magnificent. nba2kmyteam sfcrabs pinkdiamond sprewell nba2k spree myteam cards grinding nba2k20 pic.twitter.com 2iqsf9zqw0,Positive,Negative
PlayStation5(PS5),Negative,god when,Negative,Irrelevant
Hearthstone,Negative,i miss when hearthstone was simpler,Negative,Positive
Facebook,Negative,leaked memo excoriates facebook s slapdash and haphazard response to global political manipulation dlvr.it rgbzjd url,Negative,Neutral
ApexLegends,Irrelevant,wilson,Irrelevant,Neutral
Facebook,Neutral,"our hisaperth obiawards ceremony is taking place this friday 29 may. celebrating the outstanding, best inspiring work staff students within perthcollegeuhi have done this year. streaming live 12 noon friday user facebook page. teamhisa awards iwouldliketothank pic.twitter.com re3iy9t66p",Neutral,Irrelevant
Microsoft,Positive,indigo urgent care looks to microsoft teams and microsoft s power platform to help deliver quality care and world-class patient experience lnkd.in eazwmub,Positive,Negative
RedDeadRedemption(RDR),Neutral,red dead redemption 2 rdonline rdr2 dailychallengers by simba pic.twitter.com oebblxui9l,Neutral,Positive
Google,Negative,well that's not helping to reassure me my data is safe with user,Negative,Positive
Amazon,Neutral,"i didn't have massive success in indieapril but i am happy because i saw two reviews on amazon today. and they made what has been a crappy week in my personal life, a little better reviewmay darkfantasy here's one detailed review nevergiveup you will find your audience pic.twitter.com ysjleggy7w",Neutral,Negative
johnson&johnson,Neutral,big news. numerous great companies are seeing fantastic results. user must move quickly! twitter.com nytimes status,Neutral,Negative
johnson&johnson,Neutral,johnson johnson pauses covid-19 vaccine trial over patient exhibiting an 'unexplained illness' twitter.com i events 13158,Neutral,Negative
Amazon,Negative,plague of corruption is 1 on amazon and 3 on the ny times bestseller list. pic.twitter.com mr2gbn43i9,Negative,Positive
Fortnite,Irrelevant,user thank you fortnite xboxshare pic.twitter.com zwqorfk0jn,Irrelevant,Positive
Facebook,Positive,wow,Positive,Irrelevant
CS-GO,Irrelevant,it's our pleasure h,Irrelevant,Positive
WorldOfCraft,Positive,good job user user user pic.twitter.com zyot3flen0,Positive,Neutral
CS-GO,Positive,best of luck !,Positive,Irrelevant
RedDeadRedemption(RDR),Positive,red dead redemption got me wanting to move to a mother fucking ranch,Positive,Neutral
PlayerUnknownsBattlegrounds(PUBG),Negative,i hate that music,Negative,Irrelevant
FIFA,Positive,worldcupathome: five african matches you would love to see from fifa googlehits.com worldcupathome url,Positive,Neutral
TomClancysGhostRecon,Negative,user ghostreconbreakpoint just took down a terminator pic.twitter.com qjrq9ic3be,Negative,Neutral
ApexLegends,Irrelevant,happy birthday gautam,Irrelevant,Neutral
GrandTheftAuto(GTA),Neutral,mori,Neutral,Irrelevant
Hearthstone,Positive,this is insane!! what what what what what,Positive,Negative
LeagueOfLegends,Neutral,check out my video! leagueoflegends captured by outplayed 2020alienwaregames pic.twitter.com x6kqew08hw,Neutral,Positive
Overwatch,Negative,i ll never understand how people enjoy overwatch,Negative,Neutral
Nvidia,Irrelevant,"apple is a no for me, they don t innovate anymore",Irrelevant,Neutral
Borderlands,Neutral,hey jackwagons why dont you get over here and come say hi. playing some borderlands 2 and chatting about smallstreamer smallstreamercommunity twitchstreamers twitchaffiliate roadtopartner twitch twitchstreamer supportsmallstreamers wtf over! twitch.tv cblack47,Neutral,Negative
GrandTheftAuto(GTA),Neutral,man this some gta shit lol.,Neutral,Positive
GrandTheftAuto(GTA),Positive,. hilarious as fuck,Positive,Negative
PlayStation5(PS5),Negative,smh,Negative,Irrelevant
ApexLegends,Positive,it was a good day in apexlegends xboxshare pic.twitter.com lz6b1oiptt,Positive,Neutral
Cyberpunk2077,Positive,this game looks insane wtf,Positive,Negative
PlayStation5(PS5),Neutral,"my main reason for wanting the ps5 is because the next god of war will eventually be on it. until i get that announcement, i'll probably be waiting on it. especially since re8 will be on pc anyways. :3 overall i'm excited for the games though! :d",Neutral,Positive
Verizon,Positive,i can get on the phone with user but i can't get on the phone with user you have to be kidding me pic.twitter.com akem9uwz2q,Positive,Neutral
